"Authority","Gender","Count"
"CANTIC ID (old)","non-binary","1"
"Dictionnaire du Jura ID","female","1"
"HelveticArchives ID","female","1"
"Rotten Tomatoes ID","non-binary","1"
"CONOR.SI ID","non-binary","1"
"NLA Trove people ID","non-binary","1"
"NSK ID","non-binary","1"
"ComicBookDB Creator ID","male","1"
"OpenPlaques subject ID","female","1"
"Cambridge Alumni Database ID","female","1"
"University of Barcelona authority ID (obsolete)","non-binary","1"
"BBF ID","female","1"
"KMDb person ID","male","1"
"Journalisted ID","male","1"
"Metacritic ID","non-binary","1"
"Metacritic ID","male","1"
"Metacritic ID","female","1"
"CWGC person ID","male","1"
"Righteous Among The Nations ID","male","1"
"Six Degrees of Francis Bacon ID","male","1"
"KNAW past member ID","female","1"
"Theatricalia person ID","non-binary","1"
"Theatricalia person ID","female","1"
"BDRC Resource ID","female","1"
"autores.uy ID","female","1"
"Québec cultural heritage directory people identifier","male","1"
"Québec cultural heritage directory people identifier","female","1"
"Danish National Filmography person ID","female","1"
"TV.com ID","male","1"
"Filmportal ID","non-binary","1"
"Biographical Directory of Federal Judges ID","male","1"
"Loop ID","male","1"
"INSPIRE-HEP author ID","male","1"
"Spenserians person ID","male","1"
"Spenserians person ID","female","1"
"TCM Movie Database person ID","female","1"
"ISzDb person ID","male","1"
"elCinema person ID","male","1"
"EDb person ID","male","1"
"elFilm person ID","female","1"
"KU Leuven person ID","female","1"
"BAnQ author ID","non-binary","1"
"student register of the University of Helsinki ID (1640–1852)","male","1"
"LinkedIn personal profile ID","non-binary","1"
"Academia Sinica authority ID","male","1"
"Dictionnaire des Vendéens ID","male","1"
"OSZMI ID","male","1"
"National Film Board of Canada director identifier","male","1"
"Bionomia ID","female","1"
"XING profile ID","female","1"
"PLWABN ID","non-binary","1"
"Grammy Awards artist ID","male","1"
"Edvard Munch's correspondance person ID","female","1"
"Estonian biographical database ID","female","1"
"askArt person ID","male","1"
"The Cardinals of the Holy Roman Church ID","male","1"
"Australian National Maritime Museum person ID","female","1"
"Decine21 person ID","male","1"
"Livelib.ru person ID","male","1"
"kino-teatr.ru person ID","female","1"
"Deutsche Biographie (GND) ID","non-binary","1"
"GeneaStar person ID","female","1"
"ToposText person ID","male","1"
"elibrary.ru person ID","male","1"
"Fandango person ID","male","1"
"re:publica speaker ID","female","1"
"CDAPNC author ID","female","1"
"ASUT ID","female","1"
"CTHS author ID","female","1"
"LiederNet composer ID","female","1"
"LombardiaBeniCulturali architecture author ID","male","1"
"Norwegian prisoner register person ID","female","1"
"Legacy.com person ID","male","1"
"Fototeka person ID","female","1"
"Jewish Virtual Library ID","female","1"
"Frauen in Bewegung 1848–1938 ID","male","1"
"TracesOfWar person ID","male","1"
"FIPRESCI person ID","female","1"
"Carl-Maria-von-Weber-Gesamtausgabe ID","female","1"
"Dostoyevsky and His Entourage ID","male","1"
"ITHL author ID","male","1"
"AstroGen ID","female","1"
"Archivio dei possessori ID","female","1"
"Biographical Archive of Psychiatry ID","male","1"
"National Historic People ID","male","1"
"Le Lettere di Theodor Mommsen agli Italiani ID","female","1"
"Doktori.hu ID","male","1"
"Data Collection of the Hungarian Peerage ID","male","1"
"Studio di Fonologia Musicale RAI person ID","male","1"
"Germanistenverzeichnis ID","female","1"
"Obituaries Australia ID","female","1"
"ARAE ID","female","1"
"Cyprus Bibliography ID","female","1"
"Keratsini-Drapetsona libraries' catalogue authority ID","female","1"
"Keratsini-Drapetsona libraries' catalogue authority ID","male","1"
"OFDb person ID","male","1"
"Russians of Latvia ID","male","1"
"Brapci author ID","female","1"
"Digital Library of Armenian Literature author ID","female","1"
"Forbes Russia profile ID","female","1"
"LTit person ID","female","1"
"Memento Vienna person ID","female","1"
"Australian Music Centre artist ID","male","1"
"Biographical Encyclopedia of Astronomers ID","female","1"
"Romanistenlexikon ID","female","1"
"WUA author ID","male","1"
"Book Owners Online person ID","male","1"
"Legie 100 legionary ID","male","1"
"The New Yorker contributor ID","male","1"
"IRIS UNIPV author ID","female","1"
"Anagrafe degli studiosi ID","male","1"
"USiena air author ID","female","1"
"Online Begraafplaatsen person ID","male","1"
"CANTIC ID","non-binary","1"
"MYmovies person ID","non-binary","1"
"George Eastman Museum people ID","female","1"
"UAE University Libraries ID","male","1"
"IRIS UNIPG author ID","female","1"
"Tabakalera ID","non-binary","1"
"IRIS UNIURB author ID","female","1"
"IRIS UNIMI author ID","male","1"
"IRIS UNIMI author ID","female","1"
"IRIS POLIBA author ID","female","1"
"IRIS UNIVPM author ID","male","1"
"KINENOTE person ID","male","1"
"OpenAlex ID","female","1"
"Renacyt ID","female","1"
"HaBima Archive person ID","male","1"
"ArTS author ID","female","1"
"IxTheo authority ID","non-binary","1"
"AperTO author ID","female","1"
